sexe,prenom,nombre
1,Cesaire,416
1,Pietro,415
1,Appolinaire,414
1,Silvere,413
1,Michael,410
1,Franco,410
1,Fredy,409
1,Maryan,409
1,Aimé,408
1,Napoleon,408
1,Raimond,408
1,Hugo,407
1,Ronald,407
1,Elise,406
1,Adalbert,401
1,Rino,401
1,Fritz,401
1,Magloire,400
1,Oswald,400
1,Carlo,398
1,Ladislas,396
1,Gabin,396
1,Gery,392
1,Karl,392
1,Axel,391
1,Kurt,390
1,Jim,388
1,Floreal,388
1,Salvator,386
1,Gatien,381
1,Crepin,381
1,Anastase,381
1,Benoni,380
1,Ollivier,378
1,Lucay,377
1,Lilian,377
1,Lin,376
1,Nicaise,375
1,Isaie,374
1,Curt,374
1,Bienaime,374
1,Anthime,370
1,Desir,367
1,Wladimir,365
1,Leger,363
1,Aubert,361
1,Gonzague,359
1,Sainte,358
1,Nonce,356
1,Joaquin,356
1,Godefroy,356
1,Saint-Ange,355
1,Antoni,352
1,Monique,350
1,Zenon,349
1,Jean-Robert,349
1,Régis,349
1,Jan,348
1,Herman,348
1,Rufin,347
1,Amour,347
1,Conrad,347
1,Bonaventure,346
1,Gualbert,343
1,Guiseppe,341
1,Alcime,338
1,Celeste,338
1,Gil,333
1,Mohamed,331
1,Armando,331
1,Avit,330
1,Anthelme,329
1,Sylvio,328
1,Euloge,325
1,Jean-Marcel,324
1,Philbert,324
1,Joffre,322
1,Saint-Jean,322
1,Joachin,321
1,Osmin,319
1,Oreste,318
1,Sainte-Croix,317
1,Marco,317
1,Vladimir,315
1,Barbe,314
1,Zephir,309
1,Alberto,309
1,Zygmunt,308
1,Williams,308
1,Edwige,308
1,Charlie,307
1,Fernando,306
1,Marino,306
1,Leonide,306
1,Odile,304
1,Crescent,303
1,Silvio,302
1,Honorat,302
1,Maxence,300
1,Attilio,294
1,Timothée,292
1,Manfred,292
1,Sadi,292
1,Helmut,289
1,Ildevert,288
1,Marien,288
1,Amable,288
1,Horst,287
1,Israel,287
1,Said,285
1,Darius,283
1,Janick,283
1,Gille,281
1,Alin,281
1,Rogatien,281
1,Claudy,281
1,Timoleon,281
1,Landry,281
1,Sabas,280
1,Come,280
1,Theophane,279
1,Pepin,279
1,Jean-Maurice,278
1,Clodomir,278
1,Gui,277
1,Ricardo,276
1,Odilon,271
1,Symphorien,269
1,Jean-André,268
1,Marie-Joseph,266
1,Yoland,265
1,Italo,265
1,Privat,264
1,Oculi,263
1,Nello,261
1,Ephrem,261
1,Almire,260
1,Anne,260
1,Nathan,259
1,Corneille,257
1,Amaury,256
1,Reynald,255
1,Cecilien,254
1,Edvard,253
1,Franz,253
1,Ahmed,252
1,Adelin,251
1,Sulpice,250
1,Manoel,250
1,Esprit,250
1,Odon,249
1,Germinal,247
1,Yanick,247
1,Fabrice,247
1,Renato,245
1,Remo,244
1,Gedeon,244
1,Amar,243
1,Raynald,243
1,Jude,243
1,Dimitri,242
1,Willi,242
1,Francesco,241
1,Siegfried,241
1,Zdzislaw,240
1,Zygmund,239
1,Sergio,238
1,Rose,238
1,Guislain,238
1,Marjan,237
1,Edwin,236
1,Nazaire,236
1,Vicente,236
1,Gerome,232
1,Rachel,232
1,Peter,232
1,Hoche,232
1,Leonus,232
1,Bernadin,232
1,Luis,231
1,Nicomede,230
1,Jean-Guy,230
1,Zoé,230
1,Elian,229
1,Wenceslas,229
1,Jakie,227
1,Alfredo,227
1,Wolfgang,226
1,Aurele,224
1,Theresien,223
1,Jean-Daniel,222
1,Gines,220
1,Andoche,219
1,Ludger,218
1,Lyonel,217
1,Saint-Martin,216
1,Sabin,216
1,Agnan,214
1,Helmuth,213
1,Bazile,213
1,Jonas,212
1,Bienvenu,211
1,Wladyslas,210
1,Rolf,209
1,Lie,208
1,Hildevert,208
1,Septime,208
1,Venant,207
1,Ewald,206
1,Fridolin,205
1,Danton,205
1,Agnès,204
1,Turenne,204
1,Donald,204
1,Gunther,203
1,Gentil,203
1,Philogone,202
1,Helier,202
1,Jean-Georges,201
1,Babylas,200
1,Yvonnick,200
1,Julius,198
1,Olympe,198
1,Sigismond,198
1,Jaime,196
1,Archange,195
1,Umberto,194
1,Heinz,194
1,Jean-Henri,194
1,Homere,193
1,Floris,193
1,Santiago,192
1,Luciano,191
1,Pierre-Marie,191
1,Julot,189
1,Court,189
1,Hyppolite,188
1,Sosthenes,188
1,Eustase,188
1,Girard,187
1,Lucas,187
1,Roberto,186
1,Evenor,184
1,Ruffin,182
1,Expedit,180
1,Arnould,180
1,Thadee,180
1,Jean-Mary,180
1,Waldemar,179
1,Adelaide,179
1,Tanguy,179
1,Socrate,179
1,Valerien,178
1,Orlando,178
1,Joe,178
1,Gauthier,177
1,Jean-Pol,177
1,Ralph,177
1,Olive,177
1,Anonyme,177
1,Doctrove,176
1,Joaquim,176
1,Walther,175
1,Moderan,175
1,Claudien,174
1,Josue,174
1,Ceslaw,174
1,Tristan,173
1,Elysee,173
1,Dorothee,172
1,Jean-Max,171
1,Scholastique,171
1,Vivien,170
1,Tadeus,170
1,Del,170
1,Bastien,168
1,Prisca,168
1,Salvatore,168
1,Benito,167
1,Fulgence,167
1,Domingo,166
1,Godfroy,166
1,Jaki,166
1,Gislain,164
1,Reginald,164
1,Justinien,163
1,Jacque,163
1,Rudolf,163
1,Angèle,160
1,Thiebaut,160
1,Bronislas,160
1,Franklin,159
1,Elien,159
1,Philogene,158
1,Ugo,158
1,Jean-Patrick,158
1,Eucher,157
1,Harold,157
1,Ildebert,156
1,Danny,156
1,Josian,155
1,Ennemond,154
1,Boleslas,154
1,Guerino,154
1,Johnny,154
1,Agenor,153
1,Julio,153
1,Joanes,153
1,Geneviève,151
1,Vivian,151
1,Telesphore,149
1,Charley,149
1,Hebert,149
1,Eddy,147
1,Fiacre,146
1,Domenico,145
1,Salvat,145
1,Severe,145
1,Enogat,144
1,Pierrick,144
1,Livio,143
1,Lorenzo,143
1,Dario,143
1,Waclaw,141
1,Christin,139
1,Catherine,139
1,Enrico,139
1,Thimothee,138
1,Erik,137
1,Jean-Christian,137
1,Pamphile,137
1,Theobald,136
1,Nelson,135
1,Augustave,134
1,Antonie,134
1,Agathe,133
1,Egon,132
1,Serges,131
1,Jean-Gabriel,131
1,Severino,130
1,Romano,130
1,Anaclet,130
1,Jannick,130
1,Claire,130
1,Rinaldo,129
1,Morand,127
1,Ronan,126
1,Saint-Cyr,125
1,Ruben,125
1,Albino,125
1,Véronique,124
1,Sidoine,124
1,Jean-Denis,124
1,Zephyr,124
1,Optat,123
1,Ervin,122
1,Adhemar,122
1,Nicole,122
1,Julian,121
1,Vittorio,121
1,Thérèse,121
1,Geo,121
1,Eli,121
1,Renzo,121
1,Wilhelm,121
1,Patric,121
1,Valérie,120
1,Jean-Dominique,120
1,Jerzy,120
1,Egidio,119
1,Reinhold,119
1,Giuseppe,118
1,Amans,118
1,Pulcherie,118
1,Ferie,118
1,Chantal,118
1,Carl,117
1,Rico,117
1,Lucet,117
1,Ives,116
1,Angely,116
1,Mamert,115
1,Aloys,114
1,Gael,114
1,Edilbert,113
1,Yannic,113
1,Jean-Antoine,113
1,Pierre-Yves,113
1,Odet,112
1,Marcien,112
1,Carmelo,112
1,Cataldo,112
1,Enrique,111
1,Jean-Jack,110
1,Eugenio,110
1,Jacquis,109
1,Josef,108
1,François-Xavier,108
1,Hendryk,108
1,Hildebert,108
1,Pie,108
1,Aurelio,108
1,Aymar,108
1,Jeanny,107
1,Jean-Roger,107
1,Berthe,107
1,Jasmin,106
1,Simplice,106
1,Valter,105
1,Bogdan,105
1,Johann,104
1,Eutrope,104
1,Pierre-Louis,104
1,Venance,103
1,Savinien,103
1,Philip,103
1,Cécile,103
1,Ildephonse,103
1,Rock,102
1,Francinet,102
1,Dieter,102
1,Janny,102
1,Zygmont,101
1,Jean-Alain,101
1,Gontrand,101
1,Louis-Marie,100
1,Yves-Marie,99
1,Damase,99
1,Fenelon,99
1,Ary,98
1,Evrard,98
1,Johan,98
1,Lubin,97
1,Leu,97
1,Josselin,97
1,Esperance,97
1,Elphege,97
1,Franciszek,97
1,Jacquelin,97
1,Teddy,96
1,Emma,96
1,Rudolph,96
1,Czeslas,96
1,Aurel,95
1,Macaire,95
1,Melchior,95
1,Aymard,94
1,Pacifique,94
1,Barthelemi,94
1,Léa,94
1,Jeanot,94
1,Jean-Francis,94
1,Arnauld,94
1,Zbigniew,93
1,Libero,92
1,Leocadie,92
1,Geoffroi,92
1,Andrée,92
1,Polycarpe,92
1,Tremeur,92
1,Giacomo,91
1,Hamon,91
1,Vincenzo,91
1,Lievin,91
1,Pierre-Jean,90
1,Renald,90
1,Marcellus,90
1,Damas,90
1,Quentin,89
1,Jeannick,89
1,Colette,89
1,Arsène,89
1,Lezin,89
1,Apollinaire,89
1,Quirin,89
1,Milan,88
1,Paolo,88
1,Jozef,88
1,Beranger,88
1,Cheri,88
1,Ivrin,88
1,Marthe,88
1,Helios,88
1,Jean-Albert,88
1,Valmy,88
1,Klaus,88
1,Ivo,88
1,Igor,87
1,Camile,87
1,Giles,87
1,Yve,87
1,Rachid,87
1,Roge,87
1,Patrik,87
1,Jérôme,86
1,Juvenal,86
1,Hegesippe,86
1,Esther,85
1,Cleophas,85
1,Romule,85
1,Marguerite,85
1,Hélène,85
1,Judes,84
1,Ezio,84
1,Elisabeth,84
1,Jullien,83
1,Sigmond,83
1,Fructueux,83
1,Bernabe,83
1,Benedict,82
1,Amelius,82
1,Friedrich,82
1,Yan,82
1,Zygmond,82
1,Eleonore,81
1,Candide,81
1,Raynal,81
1,Pancrace,81
1,Felicite,81
1,Gerhard,80
1,Lydie,80
1,Apollon,80
1,Jurgen,80
1,Ariel,79
1,Octavien,79
1,Jean-Raymond,79
1,Jean-Lucien,78
1,Josephin,78
1,Brigitte,78
1,Rosalie,78
1,Petronille,78
1,Danilo,78
1,Alphee,78
1,Leonidas,78
1,Myrtil,77
1,Victorio,77
1,Similien,77
1,Leonardo,77
1,Aramis,77
1,Jean-Christophe,76
2,Marie,1655815
2,Jeanne,487957
2,Jacqueline,298524
2,Madeleine,284393
2,Monique,278057
2,Suzanne,266552
2,Marguerite,256504
2,Yvonne,248432
2,Denise,236000
2,Marcelle,220044
2,Renée,208314
2,Germaine,207260
2,Simone,204126
2,Paulette,200879
2,Andrée,199568
2,Jeannine,196990
2,Françoise,191801
2,Anne,185931
2,Odette,183171
2,Nicole,180036
2,Christiane,178503
2,Yvette,177783
2,Louise,175357
2,Lucienne,162324
2,Raymonde,153861
2,Hélène,152172
2,Thérèse,147039
2,Georgette,146643
2,Geneviève,137664
2,Colette,129822
2,Henriette,122026
2,Josette,120551
2,Marthe,117635
2,Ginette,116044
2,Alice,107023
2,Simonne,104292
2,Gisèle,103599
2,Danielle,96223
2,Micheline,94097
2,Maria,90013
2,Michèle,88522
2,Annie,86232
2,Fernande,82508
2,Bernadette,82079
2,Juliette,79598
2,Liliane,78381
2,Michelle,77628
2,Huguette,76919
2,Josephine,76451
2,Eliane,76056
2,Lucie,76024
2,Solange,70111
2,Berthe,69208
2,Mireille,68797
2,Claudine,68779
2,Gabrielle,68348
2,Irène,65536
2,Pierrette,65130
2,Antoinette,64285
2,Rose,61825
2,Josiane,61730
2,Arlette,60855
2,Lucette,60344
2,Anna,59688
2,Janine,58983
2,Chantal,58609
2,Eugénie,57948
2,Annick,57635
2,Gilberte,56810
2,Catherine,56597
2,Francine,56295
2,Elisabeth,55119
2,Marie-Thérèse,54898
2,Angèle,54631
2,Cécile,52333
2,Elise,50244
2,Daniele,43769
2,Emilienne,43433
2,Odile,43415
2,Mauricette,43225
2,Martine,42671
2,Marie-Louise,40869
2,Jeanine,40836
2,Paule,40806
2,Anne-Marie,38168
2,Charlotte,37296
2,Claire,36725
2,Claude,36376
2,Augustine,36056
2,Rolande,35137
2,Claudette,35037
2,Aline,33686
2,Blanche,33039
2,Yolande,32984
2,Adrienne,32891
2,Léonie,31002
2,Maryse,30376
2,Reine,29825
2,Jocelyne,29732
2,Agnès,28672
2,Léa,28620
2,Julienne,28019
2,Mathilde,27767
2,Edith,27695
2,Albertine,27227
2,Aimée,25264
2,Pauline,25067
2,Evelyne,25054
2,Emilie,24851
2,Brigitte,23736
2,Régine,23331
2,Annette,23299
2,Camille,23032
2,Léontine,22402
2,Léone,22274
2,Nelly,22230
2,Emma,20556
2,Olga,19768
2,Isabelle,19601
2,Andréa,19240
2,Julie,19019
2,Amélie,18885
2,Marie-Claude,18819
2,France,18802
2,Carmen,18310
2,Maryvonne,18050
2,Joëlle,17740
2,Julia,17166
2,Dominique,17112
2,Ghislaine,17099
2,Augusta,16945
2,Viviane,16823
2,Marie-France,16501
2,Nadine,16274
2,Rosalie,15767
2,Louisette,15745
2,Adèle,15669
2,Jeannette,15597
2,Christine,14872
2,Clémence,14797
2,Ernestine,14782
2,Lydie,14779
2,Sylviane,14547
2,Victorine,14515
2,Laure,14439
2,Valentine,14274
2,Clotilde,13912
2,Céline,13877
2,Alphonsine,13031
2,Noëlle,12563
2,Ida,12455
2,Rachel,12356
2,Rosa,12202
2,Irma,11947
2,Mélanie,11918
2,Laurence,11890
2,Marinette,11725
2,Sophie,11252
2,Eveline,10767
2,Marie-Jeanne,10687
2,Clémentine,10580
2,Philomene,10475
2,Sylvie,10012
2,Armande,9819
2,Marie-Claire,9747
2,Violette,9678
2,Béatrice,9625
2,Felicie,9574
2,Elisa,9531
2,Nicolle,9479
2,Eva,9467
2,Celestine,9394
2,Roberte,8954
2,Alexandrine,8788
2,Caroline,8438
2,Claudia,8304
2,Marie-Françoise,8103
2,Virginie,8071
2,Mariette,7908
2,Alberte,7861
2,Marianne,7709
2,Marie-José,7577
2,Lina,7573
2,Justine,7208
2,Marcelline,7155
2,Claudie,7149
2,Victoria,7134
2,Marie-Rose,7044
2,Etiennette,6997
2,Sylvette,6890
2,Suzette,6873
2,Marie-Madeleine,6851
2,Roseline,6829
2,Noelie,6754
2,Antonia,6657
2,Giselle,6598
2,Christianne,6537
2,Rejane,6534
2,Marceline,6532
2,Anita,6407
2,Victoire,6271
2,Roselyne,6125
2,Magdeleine,6121
2,Lucile,6119
2,Hortense,6068
2,Anny,6040
2,Aurélie,5973
2,Jane,5829
2,Rosine,5763
2,Florence,5453
2,Adeline,5398
2,Muguette,5380
2,Eliette,5344
2,Desiree,5280
2,Marie-Josephe,5236
2,Eleonore,5233
2,Constance,5221
2,Alfreda,5162
2,Edmonde,4979
2,Véronique,4963
2,Armandine,4875
2,Stéphanie,4840
2,Celina,4806
2,Helena,4801
2,Emilia,4745
2,Noemie,4739
2,Lydia,4689
2,Louisa,4574
2,Angeline,4563
2,Edwige,4513
2,Marie-Antoinette,4486
2,Esther,4477
2,Marie-Paule,4456
2,Francette,4392
2,Marie-Hélène,4362
2,Nadia,4264
2,Marie-Christine,4234
2,Gertrude,4211
2,Rosette,4187
2,Anaïs,4169
2,Sidonie,4095
2,Charline,4065
2,Patricia,4042
2,Estelle,4033
2,Regina,4024
2,Delphine,4008
2,Octavie,3977
2,Lise,3972
2,Nathalie,3967
2,Adelaide,3937
2,Luce,3928
2,Valérie,3826
2,Marlène,3817
2,Baptistine,3788
2,Myriam,3779
2,Edmee,3766
2,Angelina,3688
2,Fanny,3688
2,Sabine,3660
2,Armelle,3611
2,Honorine,3586
2,Sonia,3441
2,Maud,3433
2,Josephe,3393
2,Noella,3310
2,Yveline,3243
2,Florentine,3220
2,Dolores,3174
2,Felicite,3169
2,Agathe,3127
2,Frieda,3112
2,Marie-Anne,3033
2,Jenny,2953
2,Josianne,2936
2,Inès,2913
2,Lucia,2880
2,Angelique,2859
2,Georgina,2842
2,Laurette,2835
2,Zoé,2792
2,Eulalie,2764
2,Josseline,2737
2,Wanda,2705
2,Flora,2667
2,Lisette,2666
2,Blandine,2616
2,Fabienne,2614
2,Antonine,2612
2,Flore,2611
2,Anastasie,2587
2,Rose-Marie,2581
2,Erna,2577
2,Emelie,2535
2,Aliette,2528
2,Clara,2511
2,Danièle,2498
2,Eglantine,2492
2,Barbe,2466
2,Mercedes,2437
2,Alix,2413
2,Héloïse,2412
2,Elia,2396
2,Hermine,2380
2,Zelie,2377
2,Clarisse,2377
2,Marie-Ange,2324
2,Gracieuse,2274
2,Rachelle,2255
2,Paula,2244
2,Jeannie,2200
2,Edithe,2184
2,Stanislawa,2180
2,Gislaine,2168
2,Marie-Noëlle,2135
2,Adolphine,2126
2,Leona,2122
2,Rita,2122
2,Sylvia,2116
2,Elvire,2110
2,Pascaline,2081
2,Olympe,2081
2,Sarah,2072
2,Noele,2070
2,Leonne,2049
2,Sylvaine,2027
2,Gillette,2021
2,Leocadie,2002
2,Leonce,1977
2,Ursule,1967
2,Annik,1934
2,Felicienne,1919
2,Euphrasie,1916
2,Line,1900
2,Palmyre,1897
2,Lyliane,1883
2,Elodie,1870
2,Rollande,1857
2,Bertha,1838
2,Seraphine,1830
2,Lilianne,1828
2,Elianne,1804
2,Pascale,1798
2,Celeste,1781
2,Suzy,1733
2,Lysiane,1732
2,Benedicte,1724
2,Joseline,1722
2,Martha,1718
2,Alida,1707
2,Beatrix,1705
2,Thereze,1687
2,Charlette,1686
2,Frédérique,1686
2,Irenee,1683
2,Joselyne,1680
2,Irena,1674
2,Nadege,1641
2,Ambroisine,1612
2,Maximilienne,1571
2,Dorothee,1568
2,Hermance,1562
2,Gaetane,1561
2,Mélina,1554
2,Colombe,1552
2,Josyane,1548
2,Janina,1536
2,Olive,1532
2,Judith,1529
2,Francia,1527
2,Chantale,1520
2,Marie-Odile,1515
2,Muriel,1514
2,Paquerette,1512
2,Cesarine,1508
2,Eve,1501
2,Benoite,1494
2,Zelia,1486
2,Elsa,1484
2,Flavie,1482
2,Jeanne-Marie,1421
2,Josepha,1410
2,Hedwige,1398
2,Noela,1381
2,Mary,1374
2,Salomé,1374
2,Aurore,1371
2,Anick,1370
2,Denyse,1343
2,Toussainte,1319
2,Marie-Annick,1317
2,Cécilia,1298
2,Marylene,1297
2,Gilette,1282
2,Bernardine,1264
2,Rosemonde,1261
2,Marie-Josee,1250
2,Dany,1240
2,Eloise,1236
2,Romaine,1225
2,Jany,1225
2,Theresa,1213
2,Esperance,1212
2,Guillemette,1205
2,Doris,1197
2,Annonciade,1191
2,Georgine,1187
2,Angela,1182
2,Felicia,1180
2,Marie-Joseph,1179
2,Marise,1176
2,Ange,1173
2,Amélia,1169
2,Josee,1168
2,Philippine,1157
2,Vivienne,1135
2,Hildegarde,1133
2,Perrine,1125
2,Leonide,1123
2,Huberte,1120
2,Florine,1118
2,Odille,1110
2,Vincente,1102
2,Marie-Pierre,1091
2,Gaby,1082
2,Laurentine,1080
2,Berangere,1073
2,Magali,1071
2,Cyprienne,1069
2,Henria,1038
2,Albine,1030
2,Betty,1029
2,Elfriede,1025
2,Collette,1022
2,Franceline,1004
2,Albanie,988
2,Herminie,973
2,Loetitia,968
2,José,956
2,Annic,955
