sexe,prenom,nombre
1,Jean,1415139
1,André,612907
1,Pierre,594001
1,Michel,470251
1,René,460819
1,Marcel,428885
1,Roger,380111
1,Louis,373288
1,Robert,357938
1,Henri,356136
1,Georges,347961
1,Jacques,346176
1,Joseph,313016
1,Maurice,306429
1,Claude,280218
1,Bernard,277168
1,Paul,275228
1,Raymond,243529
1,Gérard,220950
1,Daniel,212189
1,François,207611
1,Lucien,187026
1,Albert,186769
1,Guy,178198
1,Charles,172425
1,Alain,162081
1,Emile,150049
1,Christian,133217
1,Gilbert,131313
1,Yves,129319
1,Fernand,110901
1,Léon,102257
1,Eugène,100742
1,Roland,94580
1,Serge,92230
1,Gaston,86824
1,Antoine,84479
1,Francis,80766
1,Jean-Claude,79391
1,Jean-Pierre,75785
1,Auguste,75226
1,Gabriel,73096
1,Jules,68902
1,Marc,63898
1,Alfred,60352
1,Marius,54668
1,Philippe,54391
1,Victor,51944
1,Julien,51820
1,Edouard,50378
1,Edmond,49566
1,Ernest,48773
1,Camille,48566
1,Armand,46754
1,Alphonse,40599
1,Etienne,40580
1,Hubert,38017
1,Aime,34969
1,Alexandre,33925
1,Denis,32834
1,Dominique,31824
1,Adrien,31671
1,Félix,30864
1,Gustave,30761
1,Patrick,30606
1,Noël,29718
1,Joël,29686
1,Jean-Marie,29255
1,Elie,28427
1,Raoul,26475
1,Germain,25191
1,Marie,24310
1,Gilles,24032
1,Jean-Paul,23775
1,Yvon,23121
1,Jacky,22378
1,Clément,21503
1,Jean-Louis,20303
1,Max,20129
1,Richard,19335
1,Arthur,19330
1,Laurent,19200
1,Rémy,18561
1,Hervé,17648
1,Frédéric,17012
1,Désiré,16900
1,Augustin,16781
1,Abel,16589
1,Maxime,16242
1,Adolphe,15650
1,Norbert,15445
1,Vincent,15337
1,Emmanuel,14722
1,Alexis,14554
1,Didier,14052
1,Ferdinand,13307
1,Marceau,13287
1,Guillaume,13127
1,Nicolas,12888
1,Simon,12835
1,Rémi,12743
1,Regis,12263
1,Martial,12180
1,Jackie,11863
1,Bruno,11426
1,Constant,11420
1,Patrice,11352
1,Jean-Jacques,11312
1,Antonin,11058
1,Xavier,10917
1,Jean-Baptiste,10605
1,Arsene,10261
1,Lionel,10217
1,Olivier,10063
1,Sylvain,9971
1,Leopold,9944
1,Raphaël,9892
1,Ange,9868
1,Claudius,9801
1,Jean-François,9796
1,Jack,9521
1,José,9151
1,Justin,9091
1,Pascal,8885
1,Theophile,8775
1,Benoît,8469
1,William,8452
1,Bertrand,8380
1,Luc,8367
1,Emilien,8331
1,Celestin,8331
1,Stanislas,8178
1,James,8164
1,Martin,8066
1,Yvan,7993
1,Kleber,7858
1,Theodore,7841
1,Octave,7534
1,Henry,7353
1,Moise,7161
1,Achille,7147
1,Honore,7072
1,Jean-Michel,6996
1,Amedee,6981
1,Baptiste,6919
1,Rolland,6844
1,Leonce,6776
1,Firmin,6637
1,Casimir,6221
1,Joannes,6104
1,Prosper,6043
1,Leonard,5945
1,Jean-Luc,5670
1,Aristide,5570
1,Mathieu,5470
1,Hugues,5438
1,Isidore,5406
1,Hippolyte,5379
1,Valentin,5233
1,Jerome,5194
1,Felicien,5132
1,Eric,5098
1,Edgard,4903
1,Clovis,4832
1,Oscar,4775
1,Barthelemy,4603
1,Romain,4561
1,Jean-Marc,4542
1,Stéphane,4500
1,Eloi,4495
1,Mathurin,4334
1,Jean-Yves,4326
1,Joachim,4273
1,Francisque,4257
1,Manuel,4138
1,Gaëtan,4133
1,Benjamin,4125
1,Rodolphe,3922
1,Thomas,3904
1,Franck,3815
1,Irenee,3781
1,Urbain,3750
1,Florent,3726
1,Cesar,3665
1,Sébastien,3556
1,Christophe,3546
1,Toussaint,3534
1,Cyrille,3485
1,Omer,3428
1,Thierry,3411
1,Gérald,3410
1,Mario,3340
1,Hilaire,3327
1,Amand,3267
1,Gervais,3266
1,Alcide,3251
1,Ambroise,3247
1,Corentin,3181
1,David,3160
1,Clotaire,3140
1,Arnaud,3140
1,Yannick,3082
1,Ludovic,3073
1,Narcisse,2994
1,Léo,2983
1,Cyprien,2941
1,Grégoire,2867
1,Alban,2862
1,Marcelin,2795
1,Willy,2705
1,Hector,2699
1,Maximin,2664
1,Samuel,2608
1,Ulysse,2592
1,Antonio,2577
1,Hyacinthe,2572
1,Philibert,2537
1,Anatole,2518
1,Ignace,2487
1,Fortune,2480
1,Joanny,2474
1,Alex,2454
1,Marcellin,2421
1,Allain,2349
1,Aloyse,2331
1,Seraphin,2189
1,Léandre,2181
1,Armel,2163
1,Basile,2158
1,Jeannot,2121
1,Anselme,2108
1,Angel,2104
1,Paulin,2075
1,Angelo,2045
1,Sauveur,2010
1,Sylvestre,2009
1,Edgar,2008
1,Stephan,1989
1,Maximilien,1979
1,Loïc,1968
1,Walter,1925
1,Blaise,1904
1,Simeon,1801
1,Vital,1795
1,Pol,1775
1,Jacki,1773
1,Aurélien,1766
1,Mathias,1765
1,Victorin,1737
1,Lazare,1728
1,Nestor,1723
1,Aloise,1719
1,Florentin,1690
1,Ghislain,1640
1,Alix,1635
1,Damien,1634
1,Albin,1590
1,Valere,1579
1,France,1564
1,Irène,1542
1,Roch,1521
1,Jean-Noël,1445
1,Elisee,1443
1,Gino,1416
1,Jacquy,1396
1,Bertin,1396
1,Czeslaw,1394
1,Donatien,1391
1,Baptistin,1372
1,Antony,1339
1,Aldo,1333
1,Frantz,1333
1,Dany,1329
1,Saint,1322
1,Marin,1297
1,Jean-Bernard,1292
1,Calixte,1253
1,Othon,1244
1,Amede,1239
1,Renaud,1230
1,Anicet,1210
1,Jean-Charles,1202
1,Jacob,1199
1,Hermann,1198
1,Fabien,1191
1,Severin,1167
1,Gratien,1159
1,Virgile,1157
1,Ivan,1151
1,Edward,1148
1,Delphin,1125
1,Evariste,1121
1,Constantin,1121
1,Erwin,1116
1,Flavien,1070
1,John,1059
1,Aimable,1037
1,Noe,1036
1,Don,1021
1,Fleury,1013
1,Modeste,1005
1,Ismael,1001
1,Gildas,997
1,Faustin,984
1,Reymond,969
1,Wilfrid,952
1,Franc,949
1,Victorien,945
1,Florimond,942
1,Athanase,939
1,Rosaire,936
1,Francisco,911
1,Gaspard,908
1,Freddy,904
1,Herbert,888
1,Isaac,884
1,Lambert,883
1,Mary,881
1,Aubin,877
1,Pierrot,874
1,Eustache,869
1,Petrus,866
1,Adam,865
1,Marian,857
1,Alois,856
1,Florian,851
1,Eusebe,847
1,Rigobert,846
1,Ali,830
1,Charlemagne,807
1,Donat,805
1,Giovanni,803
1,Jean-Philippe,801
1,Tadeusz,797
1,Saturnin,795
1,Jocelyn,788
1,Chretien,784
1,Clair,776
1,Otto,765
1,Boniface,764
1,Fred,762
1,Humbert,756
1,Juan,750
1,Theodule,747
1,Salomon,747
1,Fulbert,741
1,Valery,741
1,Alberic,737
1,Gontran,734
1,Samson,734
1,Medard,731
1,Placide,728
1,Werner,717
1,Guido,706
1,Wladyslaw,704
1,Jean-Loup,695
1,Arnold,693
1,Jacquie,689
1,Frank,689
1,Bernardin,686
1,Leonel,679
1,Georget,672
1,Jeremie,670
1,Abraham,665
1,Geoffroy,664
1,Stanislaw,660
1,Parfait,658
1,Boris,653
1,Salvador,650
1,Mederic,648
1,Ramon,648
1,Abdon,646
1,Prudent,643
1,Just,633
1,Hilarion,632
1,Edme,632
1,Boleslaw,631
1,Yann,631
1,Tony,630
1,Jean-René,628
1,Mieczyslaw,622
1,Jean-Joseph,619
1,Wladislaw,619
1,Clet,614
1,Sosthene,614
1,Remond,613
1,Zephirin,613
1,Silvain,608
1,Goulven,607
1,Miguel,597
1,Wladislas,596
1,Tiburce,595
1,Pedro,594
1,Zacharie,594
1,Arcade,589
1,Harry,589
1,Stefan,588
1,George,586
1,Cyr,585
1,Charly,578
1,Sylvere,571
1,Charlot,561
1,Erich,560
1,Roman,560
1,Romuald,559
1,Bronislaw,557
1,Jacqui,556
1,Carlos,548
1,Cyriaque,548
1,Fidele,548
1,Voltaire,543
1,Hans,539
1,Juste,532
1,Colbert,531
1,Onesime,522
1,Jaky,521
1,Dante,519
1,Ariste,515
1,Dieudonne,510
1,Diego,504
1,Roméo,502
1,Gaby,502
1,Lino,500
1,Mariano,499
1,Innocent,499
1,Lionnel,496
1,Luce,495
1,Maurille,492
1,Rudolphe,492
1,Annet,491
1,Geraud,484
1,Denys,482
1,Jany,480
1,Barnabe,477
1,Epiphane,470
1,Stephen,466
1,Jehan,466
1,Sully,465
1,Servais,463
1,Ours,462
1,Adonis,454
1,Ovide,452
1,Luigi,452
1,Jesus,451
1,Philemon,449
1,Dino,449
1,Jimmy,448
1,Théo,442
1,Janvier,440
1,Mesmin,439
1,Elio,436
1,Primo,435
1,Henryk,429
1,Numa,425
1,Klebert,425
1,Brice,424
1,Emilio,419
1,Horace,419
1,Angelin,418
1,Erick,416
